7860.00;1414.80
6838.33;1230.90
2022.67;364.08
8725.00;1570.50
2247.33;404.52
4146.67;746.40
8293.00;1492.74
1749.33;314.88
1172.33;211.02
99.00;17.82
10872.00;1956.96
7623.67;1372.26
9811.33;1766.04
10874.33;1957.38
2635.33;474.36
5399.33;971.88
4978.33;896.10
9139.33;1645.08
1269.00;228.42
9351.67;1683.30
9452.67;1701.48
8267.33;1488.12
43.67;7.86
10491.00;1888.38
1207.00;217.26
8341.67;1501.50
5565.00;1001.70
6670.00;1200.60
4672.00;840.96
7711.67;1388.10
9924.00;1786.32
116.00;20.88
6664.00;1199.52
5359.33;964.68
1354.67;243.84
10515.67;1892.82
417.00;75.06
1234.33;222.18
2818.00;507.24
4321.67;777.90
7878.33;1418.10
7196.00;1295.28
2315.00;416.70
6867.67;1236.18
1417.00;255.06
10186.67;1833.60
4656.33;838.14
3045.33;548.16
1082.67;194.88
9497.33;1709.52
2950.00;531.00
2357.00;424.26
6425.33;1156.56
4220.00;759.60
1226.67;220.80
5174.00;931.32
6248.33;1124.70
9051.00;1629.18
6624.00;1192.32
5706.67;1027.20
9284.00;1671.12
7312.00;1316.16
2387.67;429.78
8823.33;1588.20
570.67;102.72
6731.67;1211.70
5806.67;1045.20
10536.67;1896.60
6817.33;1227.12
8551.33;1539.24
3881.33;698.64
6670.33;1200.66
770.33;138.66
886.67;159.60
1913.00;344.34
1380.33;248.46
2630.67;473.52
5358.33;964.50
10587.33;1905.72
3574.67;643.44
10232.33;1841.82
3935.33;708.36
10125.00;1822.50
4757.00;856.26
6809.33;1225.68
4382.00;788.76
1067.00;192.06
2797.00;503.46
5733.00;1031.94
5715.67;1028.82
5503.00;990.54
10536.00;1896.48
9681.00;1742.58
1914.33;344.58
8160.00;1468.80
4506.33;811.14
7460.00;1342.80
3737.00;672.66
6996.67;1259.40
3894.67;701.04
